True: UWaveGestureLibraryZ_8, predicted UWaveGestureLibraryZ_7, 67 times 
True: UWaveGestureLibraryZ_3, predicted UWaveGestureLibraryZ_4, 64 times 
True: UWaveGestureLibraryZ_7, predicted UWaveGestureLibraryZ_8, 31 times 
True: UWaveGestureLibraryZ_4, predicted UWaveGestureLibraryZ_3, 26 times 
True: UWaveGestureLibraryZ_4, predicted UWaveGestureLibraryZ_6, 18 times 
True: UWaveGestureLibraryZ_3, predicted UWaveGestureLibraryZ_5, 18 times 
True: UWaveGestureLibraryZ_6, predicted UWaveGestureLibraryZ_1, 16 times 
True: UWaveGestureLibraryZ_1, predicted UWaveGestureLibraryZ_6, 14 times 
True: UWaveGestureLibraryZ_1, predicted UWaveGestureLibraryZ_2, 11 times 
