True: AllGestureWiimoteX_6, predicted AllGestureWiimoteX_9, 11 times 
True: AllGestureWiimoteX_10, predicted AllGestureWiimoteX_9, 7 times 
True: AllGestureWiimoteX_8, predicted AllGestureWiimoteX_4, 7 times 
True: AllGestureWiimoteX_10, predicted AllGestureWiimoteX_5, 6 times 
True: AllGestureWiimoteX_9, predicted AllGestureWiimoteX_5, 5 times 
True: AllGestureWiimoteX_9, predicted AllGestureWiimoteX_3, 5 times 
True: AllGestureWiimoteX_1, predicted AllGestureWiimoteX_6, 5 times 
True: AllGestureWiimoteX_5, predicted AllGestureWiimoteX_6, 4 times 
True: AllGestureWiimoteX_2, predicted AllGestureWiimoteX_8, 4 times 
