True: GesturePebbleZ2_5, predicted GesturePebbleZ2_1, 3 times 
True: GesturePebbleZ2_2, predicted GesturePebbleZ2_3, 3 times 
True: GesturePebbleZ2_4, predicted GesturePebbleZ2_6, 2 times 
True: GesturePebbleZ2_4, predicted GesturePebbleZ2_2, 1 times 
True: GesturePebbleZ2_4, predicted GesturePebbleZ2_3, 1 times 
True: GesturePebbleZ2_6, predicted GesturePebbleZ2_6, 0 times 
True: GesturePebbleZ2_3, predicted GesturePebbleZ2_2, 0 times 
True: GesturePebbleZ2_3, predicted GesturePebbleZ2_1, 0 times 
True: GesturePebbleZ2_2, predicted GesturePebbleZ2_6, 0 times 
