True: AsphaltPavementType_0, predicted AsphaltPavementType_1, 20 times 
True: AsphaltPavementType_0, predicted AsphaltPavementType_2, 10 times 
True: AsphaltPavementType_1, predicted AsphaltPavementType_2, 9 times 
True: AsphaltPavementType_1, predicted AsphaltPavementType_0, 5 times 
True: AsphaltPavementType_2, predicted AsphaltPavementType_2, 0 times 
True: AsphaltPavementType_2, predicted AsphaltPavementType_1, 0 times 
True: AsphaltPavementType_2, predicted AsphaltPavementType_0, 0 times 
True: AsphaltPavementType_1, predicted AsphaltPavementType_1, 0 times 
True: AsphaltPavementType_0, predicted AsphaltPavementType_0, 0 times 
