True: UWaveGestureLibraryY_7, predicted UWaveGestureLibraryY_2, 52 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_1, 41 times 
True: UWaveGestureLibraryY_4, predicted UWaveGestureLibraryY_5, 35 times 
True: UWaveGestureLibraryY_3, predicted UWaveGestureLibraryY_4, 34 times 
True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_7, 25 times 
True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_2, 21 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_4, 14 times 
True: UWaveGestureLibraryY_3, predicted UWaveGestureLibraryY_6, 13 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_3, 13 times 
