True: ProximalPhalanxTW_6, predicted ProximalPhalanxTW_5, 18 times 
True: ProximalPhalanxTW_7, predicted ProximalPhalanxTW_8, 13 times 
True: ProximalPhalanxTW_7, predicted ProximalPhalanxTW_6, 7 times 
True: ProximalPhalanxTW_4, predicted ProximalPhalanxTW_5, 5 times 
True: ProximalPhalanxTW_5, predicted ProximalPhalanxTW_4, 4 times 
True: ProximalPhalanxTW_4, predicted ProximalPhalanxTW_3, 3 times 
True: ProximalPhalanxTW_5, predicted ProximalPhalanxTW_3, 0 times 
True: ProximalPhalanxTW_4, predicted ProximalPhalanxTW_8, 0 times 
True: ProximalPhalanxTW_4, predicted ProximalPhalanxTW_7, 0 times 
