True: AllGestureWiimoteZ_8, predicted AllGestureWiimoteZ_7, 50 times 
True: UWaveGestureLibraryAll_8, predicted UWaveGestureLibraryAll_7, 37 times 
True: WormsTwoClass_1, predicted WormsTwoClass_2, 25 times 
True: UWaveGestureLibraryAll_6, predicted UWaveGestureLibraryAll_3, 20 times 
True: AllGestureWiimoteZ_9, predicted AllGestureWiimoteZ_5, 17 times 
True: AllGestureWiimoteZ_7, predicted AllGestureWiimoteZ_5, 16 times 
True: AllGestureWiimoteZ_3, predicted AllGestureWiimoteZ_5, 16 times 
True: AllGestureWiimoteZ_3, predicted AllGestureWiimoteZ_1, 14 times 
True: AllGestureWiimoteZ_4, predicted AllGestureWiimoteZ_3, 13 times 
