True: FacesUCR_2, predicted FacesUCR_11, 6 times 
True: FacesUCR_13, predicted FacesUCR_6, 3 times 
True: FacesUCR_11, predicted FacesUCR_2, 3 times 
True: FacesUCR_14, predicted FacesUCR_4, 3 times 
True: FacesUCR_6, predicted FacesUCR_7, 2 times 
True: FacesUCR_4, predicted FacesUCR_2, 2 times 
True: FacesUCR_8, predicted FacesUCR_14, 2 times 
True: FacesUCR_7, predicted FacesUCR_12, 2 times 
True: FacesUCR_6, predicted FacesUCR_11, 2 times 
