True: FaceAll_14, predicted FaceAll_4, 7 times 
True: FaceAll_6, predicted FaceAll_11, 6 times 
True: FaceAll_4, predicted FaceAll_2, 3 times 
True: FaceAll_3, predicted FaceAll_8, 3 times 
True: FaceAll_6, predicted FaceAll_5, 3 times 
True: FaceAll_6, predicted FaceAll_4, 2 times 
True: FaceAll_13, predicted FaceAll_6, 2 times 
True: FaceAll_2, predicted FaceAll_11, 1 times 
True: FaceAll_7, predicted FaceAll_12, 1 times 
