True: InlineSkate_2, predicted InlineSkate_1, 11 times 
True: InlineSkate_4, predicted InlineSkate_3, 8 times 
True: InlineSkate_6, predicted InlineSkate_5, 8 times 
True: InlineSkate_3, predicted InlineSkate_5, 6 times 
True: InlineSkate_7, predicted InlineSkate_5, 6 times 
True: InlineSkate_4, predicted InlineSkate_7, 5 times 
True: InlineSkate_2, predicted InlineSkate_3, 5 times 
True: InlineSkate_1, predicted InlineSkate_3, 5 times 
True: InlineSkate_5, predicted InlineSkate_4, 4 times 
