True: FacesUCR_11, predicted FacesUCR_6, 7 times 
True: FacesUCR_13, predicted FacesUCR_12, 1 times 
True: FacesUCR_9, predicted FacesUCR_9, 0 times 
True: FacesUCR_13, predicted FacesUCR_14, 0 times 
True: FacesUCR_14, predicted FacesUCR_1, 0 times 
True: FacesUCR_13, predicted FacesUCR_9, 0 times 
True: FacesUCR_13, predicted FacesUCR_8, 0 times 
True: FacesUCR_13, predicted FacesUCR_7, 0 times 
True: FacesUCR_13, predicted FacesUCR_6, 0 times 
