True: OSULeaf_6, predicted OSULeaf_3, 7 times 
True: OSULeaf_4, predicted OSULeaf_2, 7 times 
True: OSULeaf_5, predicted OSULeaf_2, 3 times 
True: OSULeaf_5, predicted OSULeaf_1, 1 times 
True: OSULeaf_3, predicted OSULeaf_1, 1 times 
True: OSULeaf_3, predicted OSULeaf_2, 0 times 
True: OSULeaf_2, predicted OSULeaf_6, 0 times 
True: OSULeaf_2, predicted OSULeaf_5, 0 times 
True: OSULeaf_2, predicted OSULeaf_4, 0 times 
