True: Haptics_2, predicted Haptics_4, 22 times 
True: Haptics_1, predicted Haptics_4, 9 times 
True: Haptics_1, predicted Haptics_3, 7 times 
True: Haptics_3, predicted Haptics_4, 7 times 
True: Haptics_5, predicted Haptics_4, 5 times 
True: Haptics_5, predicted Haptics_3, 4 times 
True: Haptics_4, predicted Haptics_3, 3 times 
True: Haptics_4, predicted Haptics_5, 2 times 
True: Haptics_3, predicted Haptics_5, 2 times 
