True: AllGestureWiimoteX_10, predicted AllGestureWiimoteX_9, 12 times 
True: AllGestureWiimoteX_6, predicted AllGestureWiimoteX_9, 12 times 
True: AllGestureWiimoteX_6, predicted AllGestureWiimoteX_3, 10 times 
True: AllGestureWiimoteX_5, predicted AllGestureWiimoteX_9, 8 times 
True: AllGestureWiimoteX_2, predicted AllGestureWiimoteX_8, 7 times 
True: AllGestureWiimoteX_9, predicted AllGestureWiimoteX_3, 5 times 
True: AllGestureWiimoteX_1, predicted AllGestureWiimoteX_9, 5 times 
True: AllGestureWiimoteX_5, predicted AllGestureWiimoteX_4, 5 times 
True: AllGestureWiimoteX_9, predicted AllGestureWiimoteX_10, 4 times 
