True: FiftyWords_35, predicted FiftyWords_50, 8 times 
True: FiftyWords_42, predicted FiftyWords_29, 5 times 
True: FiftyWords_41, predicted FiftyWords_17, 4 times 
True: FiftyWords_50, predicted FiftyWords_17, 4 times 
True: FiftyWords_16, predicted FiftyWords_30, 4 times 
True: FiftyWords_22, predicted FiftyWords_44, 4 times 
True: FiftyWords_43, predicted FiftyWords_7, 4 times 
True: FiftyWords_40, predicted FiftyWords_7, 4 times 
True: FiftyWords_3, predicted FiftyWords_14, 4 times 
