True: AsphaltObstacles_1, predicted AsphaltObstacles_3, 21 times 
True: AsphaltObstacles_2, predicted AsphaltObstacles_0, 5 times 
True: AsphaltObstacles_3, predicted AsphaltObstacles_1, 4 times 
True: AsphaltObstacles_0, predicted AsphaltObstacles_2, 4 times 
True: AsphaltObstacles_2, predicted AsphaltObstacles_3, 1 times 
True: AsphaltObstacles_0, predicted AsphaltObstacles_1, 1 times 
True: AsphaltObstacles_3, predicted AsphaltObstacles_3, 0 times 
True: AsphaltObstacles_3, predicted AsphaltObstacles_2, 0 times 
True: AsphaltObstacles_3, predicted AsphaltObstacles_0, 0 times 
