True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_7, 34 times 
True: UWaveGestureLibraryY_4, predicted UWaveGestureLibraryY_3, 31 times 
True: UWaveGestureLibraryY_7, predicted UWaveGestureLibraryY_8, 24 times 
True: UWaveGestureLibraryY_4, predicted UWaveGestureLibraryY_5, 21 times 
True: UWaveGestureLibraryY_7, predicted UWaveGestureLibraryY_2, 21 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_1, 19 times 
True: UWaveGestureLibraryY_5, predicted UWaveGestureLibraryY_4, 19 times 
True: UWaveGestureLibraryY_3, predicted UWaveGestureLibraryY_4, 18 times 
True: UWaveGestureLibraryY_1, predicted UWaveGestureLibraryY_6, 18 times 
