True: InlineSkate_2, predicted InlineSkate_1, 31 times 
True: InlineSkate_7, predicted InlineSkate_1, 27 times 
True: InlineSkate_3, predicted InlineSkate_1, 25 times 
True: InlineSkate_4, predicted InlineSkate_1, 20 times 
True: InlineSkate_5, predicted InlineSkate_1, 19 times 
True: InlineSkate_6, predicted InlineSkate_1, 18 times 
True: InlineSkate_1, predicted InlineSkate_5, 0 times 
True: InlineSkate_1, predicted InlineSkate_6, 0 times 
True: InlineSkate_3, predicted InlineSkate_7, 0 times 
