True: AllGestureWiimoteZ_4, predicted AllGestureWiimoteZ_3, 15 times 
True: AllGestureWiimoteZ_7, predicted AllGestureWiimoteZ_5, 8 times 
True: AllGestureWiimoteZ_3, predicted AllGestureWiimoteZ_1, 7 times 
True: AllGestureWiimoteZ_3, predicted AllGestureWiimoteZ_5, 7 times 
True: AllGestureWiimoteZ_2, predicted AllGestureWiimoteZ_3, 6 times 
True: AllGestureWiimoteZ_9, predicted AllGestureWiimoteZ_10, 6 times 
True: AllGestureWiimoteZ_2, predicted AllGestureWiimoteZ_9, 5 times 
True: AllGestureWiimoteZ_7, predicted AllGestureWiimoteZ_8, 5 times 
True: AllGestureWiimoteZ_8, predicted AllGestureWiimoteZ_7, 4 times 
