True: AllGestureWiimoteZ_7, predicted AllGestureWiimoteZ_8, 70 times 
True: AllGestureWiimoteZ_4, predicted AllGestureWiimoteZ_3, 42 times 
True: WormsTwoClass_1, predicted WormsTwoClass_2, 35 times 
True: AllGestureWiimoteZ_9, predicted AllGestureWiimoteZ_3, 27 times 
True: AllGestureWiimoteZ_9, predicted AllGestureWiimoteZ_5, 21 times 
True: AllGestureWiimoteZ_10, predicted AllGestureWiimoteZ_9, 20 times 
True: UWaveGestureLibraryX_7, predicted UWaveGestureLibraryX_1, 19 times 
True: AsphaltPavementType_1, predicted AsphaltPavementType_0, 19 times 
True: AllGestureWiimoteZ_10, predicted AllGestureWiimoteZ_3, 19 times 
