True: AllGestureWiimoteZ_8, predicted AllGestureWiimoteZ_7, 16 times 
True: AllGestureWiimoteZ_3, predicted AllGestureWiimoteZ_4, 15 times 
True: AllGestureWiimoteZ_6, predicted AllGestureWiimoteZ_5, 6 times 
True: AllGestureWiimoteZ_4, predicted AllGestureWiimoteZ_5, 5 times 
True: AllGestureWiimoteZ_9, predicted AllGestureWiimoteZ_5, 5 times 
True: AllGestureWiimoteZ_10, predicted AllGestureWiimoteZ_6, 4 times 
True: AllGestureWiimoteZ_9, predicted AllGestureWiimoteZ_10, 4 times 
True: AllGestureWiimoteZ_2, predicted AllGestureWiimoteZ_7, 4 times 
True: AllGestureWiimoteZ_2, predicted AllGestureWiimoteZ_9, 3 times 
