True: Crop_9, predicted Crop_12, 121 times 
True: Crop_19, predicted Crop_2, 107 times 
True: Crop_8, predicted Crop_7, 98 times 
True: Crop_13, predicted Crop_16, 68 times 
True: Crop_6, predicted Crop_12, 60 times 
True: Crop_14, predicted Crop_15, 56 times 
True: Crop_3, predicted Crop_4, 46 times 
True: Crop_4, predicted Crop_3, 46 times 
True: Crop_5, predicted Crop_3, 45 times 
