True: Colposcopy_4, predicted Colposcopy_1, 4 times 
True: Colposcopy_2, predicted Colposcopy_0, 3 times 
True: Colposcopy_5, predicted Colposcopy_3, 3 times 
True: Colposcopy_1, predicted Colposcopy_3, 3 times 
True: Colposcopy_1, predicted Colposcopy_2, 3 times 
True: Colposcopy_4, predicted Colposcopy_5, 3 times 
True: Colposcopy_0, predicted Colposcopy_3, 3 times 
True: Colposcopy_1, predicted Colposcopy_0, 2 times 
True: Colposcopy_1, predicted Colposcopy_5, 2 times 
