True: SwedishLeaf_1, predicted SwedishLeaf_9, 20 times 
True: SwedishLeaf_5, predicted SwedishLeaf_13, 7 times 
True: SwedishLeaf_6, predicted SwedishLeaf_12, 6 times 
True: SwedishLeaf_6, predicted SwedishLeaf_15, 5 times 
True: SwedishLeaf_8, predicted SwedishLeaf_12, 4 times 
True: SwedishLeaf_5, predicted SwedishLeaf_15, 3 times 
True: SwedishLeaf_3, predicted SwedishLeaf_9, 3 times 
True: SwedishLeaf_9, predicted SwedishLeaf_3, 3 times 
True: SwedishLeaf_5, predicted SwedishLeaf_7, 2 times 
