True: UWaveGestureLibraryY_7, predicted UWaveGestureLibraryY_2, 41 times 
True: UWaveGestureLibraryY_4, predicted UWaveGestureLibraryY_5, 33 times 
True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_2, 25 times 
True: UWaveGestureLibraryY_2, predicted UWaveGestureLibraryY_7, 24 times 
True: UWaveGestureLibraryY_4, predicted UWaveGestureLibraryY_3, 21 times 
True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_1, 21 times 
True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_7, 20 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_4, 16 times 
True: UWaveGestureLibraryY_3, predicted UWaveGestureLibraryY_6, 16 times 
