,Beef,Coffee,EthanolLevel,Ham,Meat,OliveOil,Rock,SemgHandGenderCh2,SemgHandMovementCh2,SemgHandSubjectCh2,Strawberry,Wine
Beef,inf,5.723085472821069,23.700963164261058,10.243803828876912,3.5076965438873233,9.395702819667978,433.66901836870727,501.31353101405676,306.3343492712895,318.9698977578222,4.676730051398502,5.510225906800401
Coffee,5.723085472821069,inf,17.67637121642057,12.31142119761825,8.337936208902308,12.152239521369454,458.12023765040675,520.1377639101682,323.8921687859451,339.2523856257565,6.5576223821760475,9.698416977377674
EthanolLevel,23.700963164261058,17.67637121642057,inf,16.402441097804317,25.2822076422188,25.940172171667847,458.15916549794895,522.3466639676373,325.25378523801936,343.31435513279,19.700316582506588,18.397554753452287
Ham,10.243803828876912,12.31142119761825,16.402441097804317,inf,13.013153598880603,8.109310167430218,363.69358118304524,448.0845525320354,256.5302981236675,264.38224671687055,11.947151942021069,12.950709404358614
Meat,3.5076965438873233,8.337936208902308,25.2822076422188,13.013153598880603,inf,13.857580252230061,415.551534810955,487.1788594205988,292.7172343051474,304.4794295912813,2.2474370301583635,6.539157354271777
OliveOil,9.395702819667978,12.152239521369454,25.940172171667847,8.109310167430218,13.857580252230061,inf,405.49143924570063,479.2899467710695,284.8261812228991,296.69613969041023,11.591971303067028,9.59022953183809
Rock,433.66901836870727,458.12023765040675,458.15916549794895,363.69358118304524,415.551534810955,405.49143924570063,inf,245.7066557929879,164.31857875501495,148.2092013441244,420.1751663122821,421.3360898102893
SemgHandGenderCh2,501.31353101405676,520.1377639101682,522.3466639676373,448.0845525320354,487.1788594205988,479.2899467710695,245.7066557929879,inf,203.0832287924718,186.1126970639966,490.9563530078947,490.7545284247386
SemgHandMovementCh2,306.3343492712895,323.8921687859451,325.25378523801936,256.5302981236675,292.7172343051474,284.8261812228991,164.31857875501495,203.0832287924718,inf,90.54069253658591,296.0007004595203,295.1982806517297
SemgHandSubjectCh2,318.9698977578222,339.2523856257565,343.31435513279,264.38224671687055,304.4794295912813,296.69613969041023,148.2092013441244,186.1126970639966,90.54069253658591,inf,307.6029139182707,308.5875509762458
Strawberry,4.676730051398502,6.5576223821760475,19.700316582506588,11.947151942021069,2.2474370301583635,11.591971303067028,420.1751663122821,490.9563530078947,296.0007004595203,307.6029139182707,inf,7.49953825142025
Wine,5.510225906800401,9.698416977377674,18.397554753452287,12.950709404358614,6.539157354271777,9.59022953183809,421.3360898102893,490.7545284247386,295.1982806517297,308.5875509762458,7.49953825142025,inf
