True: Crop_13, predicted Crop_16, 154 times 
True: Crop_8, predicted Crop_7, 72 times 
True: Crop_5, predicted Crop_3, 67 times 
True: Crop_9, predicted Crop_12, 63 times 
True: Crop_17, predicted Crop_2, 60 times 
True: Crop_4, predicted Crop_3, 57 times 
True: Crop_6, predicted Crop_12, 50 times 
True: Crop_19, predicted Crop_2, 47 times 
True: Crop_3, predicted Crop_5, 34 times 
