True: DistalPhalanxOutlineAgeGroup_3, predicted DistalPhalanxOutlineAgeGroup_2, 17 times 
True: DistalPhalanxOutlineAgeGroup_2, predicted DistalPhalanxOutlineAgeGroup_1, 7 times 
True: DistalPhalanxOutlineAgeGroup_2, predicted DistalPhalanxOutlineAgeGroup_3, 1 times 
True: DistalPhalanxOutlineAgeGroup_3, predicted DistalPhalanxOutlineAgeGroup_3, 0 times 
True: DistalPhalanxOutlineAgeGroup_3, predicted DistalPhalanxOutlineAgeGroup_1, 0 times 
True: DistalPhalanxOutlineAgeGroup_2, predicted DistalPhalanxOutlineAgeGroup_2, 0 times 
True: DistalPhalanxOutlineAgeGroup_1, predicted DistalPhalanxOutlineAgeGroup_3, 0 times 
True: DistalPhalanxOutlineAgeGroup_1, predicted DistalPhalanxOutlineAgeGroup_2, 0 times 
True: DistalPhalanxOutlineAgeGroup_1, predicted DistalPhalanxOutlineAgeGroup_1, 0 times 
