True: Crop_16, predicted Crop_13, 137 times 
True: Crop_19, predicted Crop_2, 109 times 
True: Crop_5, predicted Crop_3, 92 times 
True: Crop_8, predicted Crop_7, 72 times 
True: Crop_9, predicted Crop_12, 69 times 
True: Crop_22, predicted Crop_4, 67 times 
True: Crop_4, predicted Crop_3, 63 times 
True: Crop_6, predicted Crop_12, 61 times 
True: Crop_3, predicted Crop_4, 59 times 
