True: MiddlePhalanxTW_3, predicted MiddlePhalanxTW_4, 10 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_4, 10 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_6, 9 times 
True: MiddlePhalanxTW_5, predicted MiddlePhalanxTW_4, 9 times 
True: MiddlePhalanxTW_5, predicted MiddlePhalanxTW_6, 6 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_4, 6 times 
True: MiddlePhalanxTW_4, predicted MiddlePhalanxTW_3, 5 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_3, 5 times 
True: MiddlePhalanxTW_5, predicted MiddlePhalanxTW_3, 5 times 
