True: Worms_5, predicted Worms_4, 19 times 
True: Worms_4, predicted Worms_3, 8 times 
True: Worms_1, predicted Worms_3, 8 times 
True: WormsTwoClass_1, predicted Worms_1, 8 times 
True: WormsTwoClass_2, predicted Worms_3, 8 times 
True: WormsTwoClass_2, predicted Worms_4, 7 times 
True: WormsTwoClass_1, predicted Worms_3, 6 times 
True: Worms_1, predicted WormsTwoClass_1, 4 times 
True: WormsTwoClass_2, predicted Worms_2, 3 times 
