True: InlineSkate_5, predicted InlineSkate_6, 11 times 
True: InlineSkate_2, predicted InlineSkate_1, 10 times 
True: InlineSkate_6, predicted InlineSkate_7, 10 times 
True: InlineSkate_3, predicted InlineSkate_1, 6 times 
True: InlineSkate_2, predicted InlineSkate_6, 6 times 
True: InlineSkate_3, predicted InlineSkate_6, 5 times 
True: InlineSkate_7, predicted InlineSkate_6, 5 times 
True: InlineSkate_3, predicted InlineSkate_7, 5 times 
True: InlineSkate_3, predicted InlineSkate_2, 5 times 
