True: Fish_1, predicted Fish_3, 8 times 
True: Fish_6, predicted Fish_7, 4 times 
True: Fish_4, predicted Fish_3, 2 times 
True: Fish_1, predicted Fish_2, 2 times 
True: Fish_5, predicted Fish_2, 1 times 
True: Fish_4, predicted Fish_2, 1 times 
True: Fish_2, predicted Fish_7, 0 times 
True: Fish_4, predicted Fish_1, 0 times 
True: Fish_3, predicted Fish_7, 0 times 
