True: UWaveGestureLibraryX_6, predicted UWaveGestureLibraryX_5, 47 times 
True: UWaveGestureLibraryX_5, predicted UWaveGestureLibraryX_6, 36 times 
True: UWaveGestureLibraryX_1, predicted UWaveGestureLibraryX_7, 23 times 
True: UWaveGestureLibraryX_5, predicted UWaveGestureLibraryX_2, 13 times 
True: UWaveGestureLibraryX_7, predicted UWaveGestureLibraryX_1, 13 times 
True: UWaveGestureLibraryX_8, predicted UWaveGestureLibraryX_1, 12 times 
True: UWaveGestureLibraryX_1, predicted UWaveGestureLibraryX_8, 12 times 
True: UWaveGestureLibraryX_4, predicted UWaveGestureLibraryX_5, 9 times 
True: UWaveGestureLibraryX_5, predicted UWaveGestureLibraryX_4, 8 times 
