True: FaceAll_7, predicted FaceAll_12, 5 times 
True: FaceAll_2, predicted FaceAll_4, 3 times 
True: FaceAll_6, predicted FaceAll_4, 3 times 
True: FaceAll_11, predicted FaceAll_12, 3 times 
True: FaceAll_8, predicted FaceAll_10, 2 times 
True: FaceAll_6, predicted FaceAll_2, 1 times 
True: FaceAll_10, predicted FaceAll_3, 1 times 
True: FaceAll_8, predicted FaceAll_14, 1 times 
True: FaceAll_4, predicted FaceAll_11, 1 times 
