True: UWaveGestureLibraryY_2, predicted UWaveGestureLibraryY_7, 34 times 
True: UWaveGestureLibraryY_7, predicted UWaveGestureLibraryY_2, 32 times 
True: UWaveGestureLibraryY_8, predicted UWaveGestureLibraryY_7, 29 times 
True: UWaveGestureLibraryY_4, predicted UWaveGestureLibraryY_5, 25 times 
True: UWaveGestureLibraryY_5, predicted UWaveGestureLibraryY_4, 23 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_1, 21 times 
True: UWaveGestureLibraryY_3, predicted UWaveGestureLibraryY_4, 19 times 
True: UWaveGestureLibraryY_1, predicted UWaveGestureLibraryY_6, 17 times 
True: UWaveGestureLibraryY_6, predicted UWaveGestureLibraryY_3, 15 times 
