True: CricketY_1, predicted CricketY_9, 13 times 
True: CricketY_11, predicted CricketY_3, 8 times 
True: CricketY_2, predicted CricketY_3, 5 times 
True: CricketY_12, predicted CricketY_6, 5 times 
True: CricketY_11, predicted CricketY_7, 4 times 
True: CricketY_8, predicted CricketY_1, 3 times 
True: CricketY_8, predicted CricketY_10, 3 times 
True: CricketY_6, predicted CricketY_12, 3 times 
True: CricketY_9, predicted CricketY_12, 3 times 
