True: AllGestureWiimoteY_3, predicted AllGestureWiimoteY_4, 13 times 
True: AllGestureWiimoteY_5, predicted AllGestureWiimoteY_4, 7 times 
True: AllGestureWiimoteY_7, predicted AllGestureWiimoteY_8, 7 times 
True: AllGestureWiimoteY_8, predicted AllGestureWiimoteY_2, 5 times 
True: AllGestureWiimoteY_5, predicted AllGestureWiimoteY_1, 5 times 
True: AllGestureWiimoteY_6, predicted AllGestureWiimoteY_4, 5 times 
True: AllGestureWiimoteY_2, predicted AllGestureWiimoteY_4, 4 times 
True: AllGestureWiimoteY_7, predicted AllGestureWiimoteY_2, 4 times 
True: AllGestureWiimoteY_8, predicted AllGestureWiimoteY_10, 4 times 
