True: CricketY_9, predicted CricketY_1, 8 times 
True: CricketY_12, predicted CricketY_6, 7 times 
True: CricketY_6, predicted CricketY_3, 6 times 
True: CricketY_2, predicted CricketY_3, 6 times 
True: CricketY_1, predicted CricketY_9, 4 times 
True: CricketY_6, predicted CricketY_2, 4 times 
True: CricketY_11, predicted CricketY_10, 4 times 
True: CricketY_8, predicted CricketY_9, 4 times 
True: CricketY_2, predicted CricketY_12, 3 times 
