True: CricketY_9, predicted CricketY_8, 32 times 
True: CricketY_3, predicted CricketY_2, 21 times 
True: UWaveGestureLibraryX_8, predicted UWaveGestureLibraryX_3, 17 times 
True: UWaveGestureLibraryX_5, predicted UWaveGestureLibraryX_4, 16 times 
True: AllGestureWiimoteY_4, predicted AllGestureWiimoteY_6, 15 times 
True: CricketY_6, predicted CricketY_12, 15 times 
True: AllGestureWiimoteY_8, predicted AllGestureWiimoteY_7, 15 times 
True: CricketY_1, predicted CricketY_8, 14 times 
True: CricketY_10, predicted CricketY_8, 14 times 
