True: MiddlePhalanxTW_5, predicted MiddlePhalanxTW_4, 14 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_4, 9 times 
True: MiddlePhalanxTW_4, predicted MiddlePhalanxTW_3, 8 times 
True: MiddlePhalanxTW_3, predicted MiddlePhalanxTW_4, 8 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_8, 7 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_5, 6 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_5, 6 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_3, 5 times 
True: MiddlePhalanxTW_3, predicted MiddlePhalanxTW_5, 4 times 
