True: FacesUCR_3, predicted FacesUCR_8, 11 times 
True: FacesUCR_3, predicted FacesUCR_12, 4 times 
True: FacesUCR_7, predicted FacesUCR_12, 2 times 
True: FacesUCR_6, predicted FacesUCR_12, 2 times 
True: FacesUCR_5, predicted FacesUCR_6, 2 times 
True: FacesUCR_6, predicted FacesUCR_2, 2 times 
True: FacesUCR_11, predicted FacesUCR_2, 2 times 
True: FacesUCR_13, predicted FacesUCR_6, 2 times 
True: FacesUCR_14, predicted FacesUCR_4, 2 times 
