True: WormsTwoClass_1, predicted Worms_1, 7 times 
True: Worms_1, predicted Worms_4, 6 times 
True: WormsTwoClass_1, predicted Worms_4, 6 times 
True: WormsTwoClass_2, predicted Worms_3, 6 times 
True: Worms_5, predicted Worms_4, 5 times 
True: WormsTwoClass_2, predicted Worms_2, 5 times 
True: WormsTwoClass_1, predicted Worms_5, 4 times 
True: Worms_4, predicted Worms_5, 4 times 
True: WormsTwoClass_2, predicted Worms_4, 3 times 
