True: ShapesAll_51, predicted ShapesAll_44, 19 times 
True: ShapesAll_26, predicted ShapesAll_14, 18 times 
True: WordSynonyms_24, predicted WordSynonyms_3, 17 times 
True: MedicalImages_9, predicted MedicalImages_1, 17 times 
True: ShapesAll_41, predicted ShapesAll_34, 15 times 
True: WordSynonyms_12, predicted WordSynonyms_10, 14 times 
True: WordSynonyms_11, predicted WordSynonyms_10, 14 times 
True: ShapesAll_55, predicted ShapesAll_21, 13 times 
True: WordSynonyms_2, predicted WordSynonyms_10, 13 times 
