True: MiddlePhalanxTW_4, predicted MiddlePhalanxTW_3, 12 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_5, 10 times 
True: MiddlePhalanxTW_5, predicted MiddlePhalanxTW_3, 9 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_3, 8 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_8, 8 times 
True: MiddlePhalanxTW_7, predicted MiddlePhalanxTW_6, 4 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_5, 4 times 
True: MiddlePhalanxTW_6, predicted MiddlePhalanxTW_7, 4 times 
True: MiddlePhalanxTW_5, predicted MiddlePhalanxTW_4, 4 times 
