True: CricketZ_2, predicted CricketZ_9, 7 times 
True: CricketZ_6, predicted CricketZ_8, 7 times 
True: CricketZ_8, predicted CricketZ_10, 7 times 
True: CricketZ_12, predicted CricketZ_6, 5 times 
True: CricketZ_10, predicted CricketZ_8, 5 times 
True: CricketZ_9, predicted CricketZ_7, 4 times 
True: CricketZ_11, predicted CricketZ_3, 4 times 
True: CricketZ_12, predicted CricketZ_2, 4 times 
True: CricketZ_11, predicted CricketZ_8, 3 times 
